symbol,interval,split_id,train_start,train_end,test_start,test_end,selected_filter_policy,train_net_pnl,test_net_pnl,test_trade_count,test_win_rate,test_profit_factor,test_max_drawdown,test_commission,sample_size_warning,walk_forward_pass,reason
GC=F,15m,1,2026-03-30,2026-04-21,2026-04-23,2026-05-09,COMBINED_CONSERVATIVE,-1.88,-15.94,1,0.0,0.0,15.94,4.5,SAMPLE_SIZE_WARNING: fewer than 30 frozen-policy test trades,False,INSUFFICIENT_TEST_TRADES_LT_30
GC=F,30m,1,2026-04-21,2026-04-27,2026-05-01,2026-05-07,RAW,-22.97,-81.47,3,0.3333,0.1136,81.47,13.5,SAMPLE_SIZE_WARNING: fewer than 30 frozen-policy test trades,False,INSUFFICIENT_TEST_TRADES_LT_30
GC=F,1h,1,2024-01-02,2025-03-04,2025-03-07,2025-07-11,COMBINED_CONSERVATIVE,-107.39,-29.33,14,0.5,0.6145,38.78,63.0,SAMPLE_SIZE_WARNING: fewer than 30 frozen-policy test trades,False,INSUFFICIENT_TEST_TRADES_LT_30
GC=F,1h,2,2024-01-02,2025-07-11,2025-07-14,2025-11-17,COMBINED_CONSERVATIVE,-136.72,-21.38,13,0.5385,0.6719,45.76,58.5,SAMPLE_SIZE_WARNING: fewer than 30 frozen-policy test trades,False,INSUFFICIENT_TEST_TRADES_LT_30
GC=F,1h,3,2024-01-02,2025-11-17,2025-11-20,2026-05-08,COMBINED_CONSERVATIVE,-158.1,-46.25,21,0.4762,0.6141,51.72,94.5,SAMPLE_SIZE_WARNING: fewer than 30 frozen-policy test trades,False,INSUFFICIENT_TEST_TRADES_LT_30
GC=F,4h,1,2024-01-02,2025-04-21,2025-05-13,2026-04-18,OPEN_DISTANCE_FILTER,868.01,166.57,13,0.5385,1.9299,81.41,58.5,SAMPLE_SIZE_WARNING: fewer than 30 frozen-policy test trades,False,INSUFFICIENT_TEST_TRADES_LT_30
GC=F,1d,1,2021-01-04,2024-02-02,2024-03-05,2026-04-05,FEE_HURDLE_FILTER,698.58,325.97,21,0.5238,1.9342,57.63,94.5,SAMPLE_SIZE_WARNING: fewer than 30 frozen-policy test trades,False,INSUFFICIENT_TEST_TRADES_LT_30
