symbol,interval,rows,date_start,date_end,trade_count,net_pnl_after_cost,avg_pnl,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,commission_paid,long_pnl,short_pnl,sample_size_warning,proxy_warning,timeframe_label
GC=F,15m,712,2026-03-30,2026-05-11,24,-84.38,-3.52,0.5,10.55,-17.58,0.6,98.44,108.0,126.57,-210.95,SAMPLE_SIZE_WARNING: fewer than 30 trades,,NEGATIVE
GC=F,30m,230,2026-04-21,2026-05-11,6,-104.44,-17.41,0.5,17.41,-52.22,0.3333,129.51,27.0,52.22,-156.66,SAMPLE_SIZE_WARNING: fewer than 30 trades,,NEGATIVE
GC=F,1h,11594,2024-01-02,2026-05-11,400,-745.53,-1.86,0.5,6.23,-9.95,0.6255,754.48,1800.0,671.12,-1416.65,,,NEGATIVE
GC=F,4h,852,2024-01-02,2026-05-11,38,940.65,24.75,0.5526,68.47,-29.25,2.8916,45.09,171.0,1065.92,-125.27,,,PROMISING_DIAGNOSTIC
GC=F,1d,1381,2021-01-04,2026-05-08,59,947.7,16.06,0.5424,58.03,-33.67,2.0423,54.43,265.5,560.96,386.74,,,PROMISING_DIAGNOSTIC
GLD,1d,3901,2010-11-18,2026-05-08,139,-381.66,-2.75,0.5468,12.42,-21.05,0.7121,408.0,34.75,-134.89,-246.77,,PROXY_ONLY: GLD is not treated as XAU/GC.,PROXY_ONLY
XAUUSD=X,1d,2,2026-05-09,2026-05-10,0,0,0.0,0.0,0.0,0.0,INF,0.0,0,0,0,INSUFFICIENT_DATA: only 2 rows available.,,INSUFFICIENT_DATA
